symbol,company,sector,industry
ISP.MI,Intesa Sanpaolo,Financial Services,Banks - Regional - Europe
INVP.L,Investec,Financial Services,Asset Management
INVE-B.ST,Investor,Financial Services,Asset Management
IPN.PA,Ipsen,Healthcare,Drug Manufacturers - Specialty & Generic
ISS.CO,ISS,Industrials,Business Services
IG.MI,Italgas,Utilities,Utilities - Regulated Gas
ITV.L,ITV,Consumer Cyclical,Broadcasting - TV
IWG.L,IWG,Industrials,Business Services
DEC.PA,JCDecaux,Consumer Cyclical,Advertising Agencies
JD.L,JD Sports Fashion,Consumer Cyclical,Specialty Retail
JMT.LS,Jerónimo Martins,Consumer Defensive,Food Distribution
JMAT.L,Johnson Matthey,Basic Materials,Specialty Chemicals
BAER.SW,Julius Bär Gruppe,Financial Services,Asset Management
JUP.L,Jupiter Fund Management,Financial Services,Asset Management
JE.L,Just Eat,Technology,Internet Content & Information
JYSK.CO,Jyske Bank,Financial Services,Banks - Regional - Europe
SDF.DE,K+S,Basic Materials,Agricultural Inputs
KBC.BR,KBC Group,Financial Services,Banks - Regional - Europe
KER.PA,Kering,Consumer Cyclical,Footwear & Accessories
KRZ.IR,Kerry Group,Consumer Defensive,Packaged Foods
KESKOB.HE,Kesko,Consumer Defensive,Grocery Stores
0O8D.IL,KGHM Polska Miedz,Basic Materials,Copper
KGF.L,Kingfisher,Consumer Cyclical,Home Improvement Stores
KRX.IR,Kingspan Group,Basic Materials,Building Materials
KINV-B.ST,Kinnevik,Financial Services,Asset Management
KGX.DE,Kion Group,Industrials,Truck Manufacturing
LI.PA,Klépierre,Real Estate,REIT - Retail
KBX.DE,Knorr-Bremse,Consumer Cyclical,Auto Parts
KNEBV.HE,Kone,Industrials,Diversified Industrials
KCR.HE,Konecranes,Industrials,Farm & Construction Equipment
DSM.AS,DSM,Basic Materials,Specialty Chemicals
KPN.AS,KPN,Communication Services,Telecom Services
KNIN.SW,Kuehne + Nagel,Industrials,Integrated Shipping & Logistics
OR.PA,L'Oréal,Consumer Defensive,Household & Personal Products
LHN.SW,LafargeHolcim,Basic Materials,Building Materials
MMB.PA,Lagardère,Consumer Cyclical,Publishing
LAND.L,Land Securities Group,Real Estate,REIT - Diversified
LXS.DE,Lanxess,Basic Materials,Specialty Chemicals
LEG.DE,LEG Immobilien,Real Estate,Real Estate - General
LGEN.L,Legal & General Group,Financial Services,Insurance - Life
LR.PA,Legrand,Industrials,Diversified Industrials
LDO.MI,Leonardo,Industrials,Aerospace & Defense
LIN.DE,Linde,Basic Materials,Specialty Chemicals
LISN.SW,Lindt & Sprüngli,Consumer Defensive,Confectioners
LLOY.L,Lloyds Banking Group,Financial Services,Banks - Regional - Europe
LOGN.SW,Logitech International,Technology,Computer Systems
LSE.L,London Stock Exchange,Financial Services,Lonza Group
LONN.SW,Lonza Group,Healthcare,Diagnostics & Research
LOOM-B.ST,Loomis,Industrials,Business Services
0LVL.IL,LPP,Consumer Cyclical,Apparel Manufacturing
LHA.DE,Lufthansa,Industrials,Airlines
LUND-B.ST,Lundbergföretagen,Financial Services,Lundin Petroleum
LUPE.ST,Lundin Petroleum,Energy,Oil & Gas E&P
MC.PA,LVMH Moet Hennessy,Consumer Cyclical,Luxury Goods
EMG.L,Man Group,Financial Services,Asset Management
MAP.MC,Mapfre,Financial Services,Insurance - Specialty
MKS.L,Marks and Spencer,Consumer Cyclical,Department Stores
MB.MI,Mediobanca,Financial Services,Banks - Regional - Europe
MGGT.L,Meggitt,Industrials,Aerospace & Defense
MRO.L,Melrose Industries,Industrials,Diversified Industrials
MRK.DE,Merck,Healthcare,Drug Manufacturers - Specialty & Generic
MERL.L,Merlin Entertainments,Consumer Cyclical,Media - Diversified
MRL.MC,Merlin Properties Socimi,Real Estate,REIT - Diversified
B4B.DE,Metro,Consumer Defensive,Food Distribution
METSO.HE,Metso,Industrials,Conglomerates
ML.PA,Michelin,Consumer Cyclical,Rubber & Plastics
MCRO.L,Micro Focus International,Technology,Software - Application
MONC.MI,Moncler,Consumer Cyclical,Apparel Manufacturing
MNDI.L,Mondi,Basic Materials,Paper & Paper Products
MONY.L,Moneysupermarket,Technology,Internet Content & Information
MOR.DE,MorphoSys,Healthcare,Biotechnology
MRW.L,Morrison Supermark,Consumer Defensive,Grocery Stores
MOWI.OL,Mowi,Consumer Defensive,Farm Products
MTX.DE,MTU Aero Engines,Industrials,Aerospace & Defense
MUV2.DE,Münchener Rück,Financial Services,Insurance - Reinsurance
NG.L,National Grid,Utilities,Utilities - Diversified
KN.PA,Natixis,Financial Services,Banks - Regional - Europe
NTGY.MC,Naturgy Energy Group,Utilities,Utilities - Regulated Gas
NEM.DE,Nemetschek,Technology,Software - Application
NESTE.HE,Neste,Energy,Oil & Gas Refining & Marketing
NESN.SW,Nestlé,Consumer Defensive,Packaged Foods
SMWH.L,WH Smith,Consumer Cyclical,Specialty Retail
NXT.L,NEXT,Consumer Cyclical,Apparel Stores
NIBE-B.ST,NIBE Industrier,Basic Materials,Building Materials
NMC.L,NMC Health,Healthcare,Medical Care
NN.AS,NN Group,Financial Services,Insurance - Diversified
